date,NDCI_mean,NDTI_mean,FAI_mean,NDCI_mean_loess,NDTI_mean_loess,FAI_mean_loess
2021-01-10,0.1595425927616541,-0.02478742231774177,0.06040460975774641,0.09771163239642192,0.04909134708457683,0.054629912642123885
2021-01-15,0.10421010815700214,0.042227652663492675,0.06216771537848967,0.10750360376510981,0.03994388191825901,0.05903372385441931
2021-01-15,0.09198247331748798,0.02468782877166983,0.05769604386806163,0.11730491661878192,0.03077176118414737,0.06348017969027711
2021-02-09,0.15984249966876451,0.013758119419946565,0.07584894080773223,0.12709904961466076,0.021579651408680945,0.06796649040767863
2021-02-09,0.1447185302649423,0.003510854961360053,0.07289641961446085,0.13688058182523868,0.012383857402763038,0.07249103587434971
2021-02-24,0.1261591444064405,0.009804253794384508,0.06944816647127482,0.14662373192283618,0.00321860303625178,0.07704698423208936
2021-02-24,0.14929838516825014,0.01883606282541632,0.07370144449456656,0.15628706385528524,-0.00586114559145373,0.08162405455993489
2021-03-31,0.15369794806292034,0.006140589726557896,0.08875924631337657,0.1658365147273417,-0.014789889370154524,0.08621416978701596
2021-03-31,0.1601317328033359,0.0062984370033041005,0.09034747599321206,0.17525279065444663,-0.023509403916806167,0.0908145000499549
2021-04-05,0.20625661096265305,-0.06914017742176731,0.08792032781154815,0.1845608785126132,-0.031999650146428825,0.09543431849450838
2021-04-05,0.26138626709918755,-0.08210214805421713,0.09588782789223019,0.19385895552798532,-0.04037392332587594,0.10018234422775121
2021-04-10,0.23638909983680384,-0.07480598400048473,0.1087967177500838,0.20174410149096,-0.047597678859104126,0.10515187935439217
2021-04-10,0.22130299567251804,-0.06857254571504023,0.10648072641054306,0.20954075452712156,-0.0551353425436259,0.11016502133682843
2021-04-20,0.22249813816012837,-0.07896243964209548,0.12065070478490426,0.21726120629556156,-0.06280795456838686,0.11507534673035645
2021-04-20,0.2632494107988089,-0.09213336496416137,0.13001816046891904,0.2243441301363564,-0.06991927599054662,0.11960927111222693
2021-04-30,0.2286794560072002,-0.06326711824873477,0.1313295089508551,0.2300204404073847,-0.07568779182267568,0.1235795519941858
2021-04-30,0.21555161278648868,-0.06234416564614497,0.12760086982164198,0.23383768092006843,-0.07998088941737343,0.12690265879847992
2021-05-10,0.19965737323118146,-0.061007584935637786,0.12650600917344498,0.23573319751248822,-0.08302990259809982,0.12939323322632296
2021-05-10,0.26509707751203015,-0.07655222151937005,0.14100065186626337,0.23612943035492553,-0.08490451712946948,0.13095110099983007
2021-05-30,0.24895802180843873,-0.10989537621039876,0.14702908990525074,0.23559346206474494,-0.08536284645618496,0.13150400323831146
2021-05-30,0.3027345602827669,-0.14139211262166743,0.15622967582545488,0.23453413016655258,-0.08449395009918002,0.13094308052850537
2021-08-08,0.2616496626780809,-0.1332820739336979,0.1373573685920597,0.23312675414832776,-0.08258464693656148,0.12924389508941111
2021-08-08,0.256843025476138,-0.13049857154969954,0.13634723909092475,0.23105061524998657,-0.07989274392917248,0.12653932048710992
2021-08-28,0.22509715081631843,-0.10052219601890412,0.13454301708387115,0.22799266664244727,-0.0766497631239253,0.12305701968494898
2021-08-28,0.2283437399938043,-0.1029035622709293,0.1354392612004826,0.22365019216564516,-0.07285455162230868,0.11896579064073656
2021-10-02,0.2187158246811527,-0.08728336736480014,0.1180959366194933,0.21757853512437786,-0.06784507237780758,0.11427704181203913
2021-10-02,0.22151147249254635,-0.08608225803497403,0.11885691527452694,0.2100444177944466,-0.06061127854174964,0.10904682019530922
2021-11-16,0.19797943820934186,-0.03710575751989021,0.08582979702245955,0.20192932595818616,-0.05061160163940366,0.10357915326139043
2021-11-16,0.18892046946000518,-0.04134371835584032,0.08401805959259408,0.19397258847067725,-0.038750515477670305,0.09826099634209942
2021-12-01,0.2344286161444802,-0.003859513368208994,0.08816292231286081,0.18656319862391324,-0.02674794512424977,0.09327727095682109
2021-12-11,0.1582558322431749,0.00834265201039607,0.07467166434246834,0.17980584589259382,-0.01537075418653015,0.08863260037255655
2021-12-11,0.15983389220739902,0.0035856401519741414,0.0742123142322043,0.173576162311953,-0.004791331043636058,0.0843984869098113
2021-12-16,0.15516309696688393,0.021571992635411073,0.07343692392153767,0.1678617780123084,0.004754548995530817,0.08077012158932101
2021-12-16,0.14059595344652234,0.0095520611813839,0.07029011633649128,0.16268446468166023,0.01293449512672396,0.07788376127989684
2022-01-05,0.15558814761827391,0.03417917770260724,0.07937244465467476,0.15808587415825823,0.01954448542892561,0.07575163988969527
2022-01-05,0.15838699085628347,0.030858243523012002,0.07940273651077887,0.15420516582444405,0.024648849390901298,0.07431138993756223
2022-01-10,0.1455366072106954,0.03326865182274111,0.07184412517543264,0.15123405808239854,0.02852099411686191,0.07340202938373741
2022-01-10,0.1579157126502372,0.04401882703685812,0.07368536250970678,0.14908027301054955,0.03137051232858691,0.07281813275428478
2022-02-09,0.14404812254071434,0.04848742037130613,0.06937091490373766,0.14769628853034017,0.03336375525160957,0.07253758016645086
2022-02-09,0.13395464197014312,0.041752436321819617,0.06777933975279163,0.14700970744710315,0.03466082021102313,0.07256653398630263
2022-02-24,0.15938471854900352,0.03407408609967773,0.0725433033265548,0.14706076959586364,0.03513528052463952,0.0729529568430429
2022-02-24,0.1551917748523286,0.02663539218102153,0.07271604044931199,0.14788429664349126,0.03455252167831008,0.07375792249699069
2022-03-11,0.1122079360676955,0.035160852417157634,0.06520744794511305,0.14947790332927105,0.032722870678093686,0.07509983683017839
2022-03-11,0.11037960792303844,0.03208338600154909,0.06383513106608397,0.1516980816659211,0.029527989999757483,0.07704554884042794
